day,city,S,E,I,R
0,University Park,25104.00,0.00,0.00,0.00
0,Kingsville,25061.00,0.00,0.00,0.00
0,Pecan Grove,24798.00,0.00,0.00,0.00
0,Big Spring,24769.00,0.00,0.00,0.00
0,Paris,24678.00,0.00,0.00,0.00
0,San Benito,24677.00,0.00,0.00,0.00
0,Cloverleaf,24630.00,0.00,0.00,0.00
0,Kerrville,24532.00,0.00,0.00,0.00
0,Saginaw,24467.00,0.00,0.00,0.00
0,Benbrook,24430.00,0.00,0.00,0.00
0,Fresno,24087.00,0.00,0.00,0.00
0,Katy,23900.00,0.00,0.00,0.00
0,Belton,23769.00,0.00,0.00,0.00
0,Marshall,23646.00,0.00,0.00,0.00
0,Watauga,23336.00,0.00,0.00,0.00
0,Horizon City,23069.00,0.00,0.00,0.00
0,Corinth,22868.00,0.00,0.00,0.00
0,Dickinson,21612.00,0.00,0.00,0.00
0,Ennis,21546.00,0.00,0.00,0.00
0,Stephenville,21345.00,0.00,0.00,0.00
0,Murphy,21001.00,0.00,0.00,0.00
0,Anna,20975.00,0.00,0.00,0.00
0,Princeton,20966.00,0.00,0.00,0.00
0,Brushy Creek,20953.00,0.00,0.00,0.00
0,Fate,20757.00,0.00,0.00,0.00
0,Portland,20369.00,0.00,0.00,0.00
0,Alamo,20008.00,0.00,0.00,0.00
0,Plainview,19893.00,0.00,0.00,0.00
0,Universal City,19853.00,0.00,0.00,0.00
0,Angleton,19597.00,0.00,0.00,0.00
0,Boerne,19509.00,0.00,0.00,0.00
0,Alton,19205.00,0.00,0.00,0.00
0,Orange,19178.00,0.00,0.00,0.00
0,Cinco Ranch,19139.00,0.00,0.00,0.00
0,Lakeway,19130.00,0.00,0.00,0.00
0,Terrell,19019.00,0.00,0.00,0.00
0,Crowley,19007.00,0.00,0.00,0.00
0,Seagoville,18968.00,0.00,0.00,0.00
0,Palestine,18888.00,0.00,0.00,0.00
0,La Marque,18833.00,0.00,0.00,0.00
0,Brownwood,18805.00,0.00,0.00,0.00
0,Steiner Ranch,18683.00,0.00,0.00,0.00
0,Nederland,18475.00,0.00,0.00,0.00
0,White Settlement,18119.00,0.00,0.00,0.00
0,Brenham,18086.00,0.00,0.00,0.00
0,Bay City,17816.00,0.00,0.00,0.00
0,Alice,17797.00,0.00,0.00,0.00
0,Gainesville,17688.00,0.00,0.00,0.00
0,Melissa,17497.00,0.00,0.00,0.00
0,Royse City,17357.00,0.00,0.00,0.00
0,Stafford,17279.00,0.00,0.00,0.00
0,Glenn Heights,17175.00,0.00,0.00,0.00
0,Addison,17128.00,0.00,0.00,0.00
0,Bellaire,17116.00,0.00,0.00,0.00
0,Groves,17021.00,0.00,0.00,0.00
0,Manor,16917.00,0.00,0.00,0.00
0,Donna,16774.00,0.00,0.00,0.00
0,Taylor,16767.00,0.00,0.00,0.00
0,Pampa,16735.00,0.00,0.00,0.00
0,Humble,16489.00,0.00,0.00,0.00
0,Mercedes,16449.00,0.00,0.00,0.00
0,Hewitt,16244.00,0.00,0.00,0.00
0,Sulphur Springs,16185.00,0.00,0.00,0.00
0,Mount Pleasant,16061.00,0.00,0.00,0.00
0,Gatesville,16058.00,0.00,0.00,0.00
0,South Houston,16017.00,0.00,0.00,0.00
0,Highland Village,16004.00,0.00,0.00,0.00
0,Red Oak,15909.00,0.00,0.00,0.00
0,Rendon,15894.00,0.00,0.00,0.00
